product_id,asset_id,asset_type,title,href,locale,alt,sort_order,revision
prd_yf_l100,doc_yf_l100_datasheet,datasheet,YF-L100 Datasheet,/docs/products/yf-l100-datasheet.pdf,en,,1,2026-07
prd_yf_l100,doc_yf_l100_manual,manual,YF-L100 Manual,/docs/products/yf-l100-manual.pdf,en,,2,v1
prd_yf_t200,asset_yf_t200_primary,primary_image,YF-T200 Primary Image,/images/products/yf-t200-primary.jpg,,YF-T200 temperature transmitter,1,
prd_yf_t200,asset_yf_t200_dimension,dimension_drawing,YF-T200 Dimension Drawing,/images/products/yf-t200-dimension.png,,YF-T200 probe dimension drawing,2,
prd_yf_t200,doc_yf_t200_datasheet,datasheet,YF-T200 Datasheet,/docs/products/yf-t200-datasheet.pdf,en,,1,2026-07
prd_yf_t200,doc_yf_t200_certificate,certificate,YF-T200 CE Certificate,/docs/products/yf-t200-ce.pdf,en,,2,2026
prd_yf_f300,asset_yf_f300_primary,primary_image,YF-F300 Primary Image,/images/products/yf-f300-primary.jpg,,YF-F300 industrial flow sensor,1,
prd_yf_f300,asset_yf_f300_installation,installation_photo,YF-F300 Pipe Installation,/images/products/yf-f300-installation.jpg,,YF-F300 mounted on a process line,2,
prd_yf_f300,doc_yf_f300_datasheet,datasheet,YF-F300 Datasheet,/docs/products/yf-f300-datasheet.pdf,en,,1,2026-07
prd_yf_f300,doc_yf_f300_manual,manual,YF-F300 Manual,/docs/products/yf-f300-manual.pdf,en,,2,v1
prd_yf_ps50,asset_yf_ps50_primary,primary_image,YF-PS50 Primary Image,/images/products/yf-ps50-primary.jpg,,YF-PS50 pressure switch,1,
prd_yf_ps50,asset_yf_ps50_gallery_01,gallery_image,YF-PS50 Connector Detail,/images/products/yf-ps50-connector.jpg,,YF-PS50 DIN connector detail,2,
prd_yf_ps50,doc_yf_ps50_datasheet,datasheet,YF-PS50 Datasheet,/docs/products/yf-ps50-datasheet.pdf,en,,1,2026-07
prd_yf_sv15,asset_yf_sv15_primary,primary_image,YF-SV15 Primary Image,/images/products/yf-sv15-primary.jpg,,YF-SV15 solenoid valve,1,
prd_yf_sv15,asset_yf_sv15_diagram,diagram,YF-SV15 Flow Diagram,/images/products/yf-sv15-flow.png,,YF-SV15 flow direction diagram,2,
prd_yf_sv15,doc_yf_sv15_datasheet,datasheet,YF-SV15 Datasheet,/docs/products/yf-sv15-datasheet.pdf,en,,1,2026-07
prd_yf_sv15,doc_yf_sv15_manual,manual,YF-SV15 Manual,/docs/products/yf-sv15-manual.pdf,en,,2,v1
prd_yf_bv25,asset_yf_bv25_primary,primary_image,YF-BV25 Primary Image,/images/products/yf-bv25-primary.jpg,,YF-BV25 manual ball valve,1,
prd_yf_bv25,asset_yf_bv25_gallery_01,gallery_image,YF-BV25 Handle Detail,/images/products/yf-bv25-handle.jpg,,YF-BV25 handle detail,2,
prd_yf_bv25,doc_yf_bv25_datasheet,datasheet,YF-BV25 Datasheet,/docs/products/yf-bv25-datasheet.pdf,en,,1,2026-07
prd_yf_bfv80,asset_yf_bfv80_primary,primary_image,YF-BFV80 Primary Image,/images/products/yf-bfv80-primary.jpg,,YF-BFV80 butterfly valve,1,
prd_yf_bfv80,asset_yf_bfv80_dimension,dimension_drawing,YF-BFV80 Dimension Drawing,/images/products/yf-bfv80-dimension.png,,YF-BFV80 dimension drawing,2,
prd_yf_bfv80,doc_yf_bfv80_datasheet,datasheet,YF-BFV80 Datasheet,/docs/products/yf-bfv80-datasheet.pdf,en,,1,2026-07
prd_yf_bfv80,doc_yf_bfv80_certificate,certificate,YF-BFV80 CE Certificate,/docs/products/yf-bfv80-ce.pdf,en,,2,2026
