product_id,group_key,group_label,spec_key,spec_label,value,value_type,unit,display,is_filterable,is_highlight,source_ref_ids,source_ref_labels,source_ref_pages,source_ref_confidences
prd_yf_ps50,electrical,Electrical,output_signal,Output signal,SPDT relay,,,SPDT relay,true,true,doc_yf_ps50_datasheet,YF-PS50 Datasheet,3,source-backed
prd_yf_ps50,electrical,Electrical,supply_voltage,Supply voltage,24...250 V,,v,24...250 V,true,false,doc_yf_ps50_datasheet,YF-PS50 Datasheet,3,source-backed
prd_yf_ps50,mechanical,Mechanical,process_connection,Process connection,G1/4 male,,,G1/4 male,true,false,doc_yf_ps50_datasheet,YF-PS50 Datasheet,3,source-backed
prd_yf_ps50,mechanical,Mechanical,electrical_connection,Electrical connection,DIN43650 connector,,,DIN43650 connector,true,false,doc_yf_ps50_datasheet,YF-PS50 Datasheet,3,source-backed
prd_yf_ps50,environmental,Environmental,ingress_protection,Ingress protection,IP65,,,IP65,true,false,doc_yf_ps50_datasheet,YF-PS50 Datasheet,4,source-backed
prd_yf_ps50,environmental,Environmental,compatible_media,Compatible media,Water;Compressed air,,,Water;Compressed air,true,false,doc_yf_ps50_datasheet,YF-PS50 Datasheet,4,source-backed
prd_yf_ps50,environmental,Environmental,wetted_materials,Wetted materials,Brass;NBR,,,Brass;NBR,true,false,doc_yf_ps50_datasheet,YF-PS50 Datasheet,4,source-backed
prd_yf_ps50,environmental,Environmental,media_temperature,Media temperature,-10...80 C,,c,-10...80 C,false,false,doc_yf_ps50_datasheet,YF-PS50 Datasheet,4,source-backed
prd_yf_ps50,environmental,Environmental,ambient_temperature,Ambient temperature,-10...60 C,,c,-10...60 C,false,false,doc_yf_ps50_datasheet,YF-PS50 Datasheet,4,source-backed
prd_yf_sv15,valve,Valve,pressure_rating,Pressure rating,PN16,,,PN16,true,true,doc_yf_sv15_datasheet,YF-SV15 Datasheet,2,source-backed
prd_yf_sv15,valve,Valve,size,Size,DN15,,,DN15,true,true,doc_yf_sv15_datasheet,YF-SV15 Datasheet,2,source-backed
prd_yf_sv15,valve,Valve,connection,Connection,G1/2 threaded,,,G1/2 threaded,true,true,doc_yf_sv15_datasheet,YF-SV15 Datasheet,2,source-backed
prd_yf_sv15,valve,Valve,material,Material,316L stainless steel,,,316L stainless steel,true,false,doc_yf_sv15_datasheet,YF-SV15 Datasheet,2,source-backed
prd_yf_sv15,valve,Valve,mode,Mode,normally closed,,,normally closed,true,false,doc_yf_sv15_datasheet,YF-SV15 Datasheet,2,source-backed
prd_yf_sv15,valve,Valve,compatible_media,Compatible media,Water;Compressed air,,,Water;Compressed air,true,false,doc_yf_sv15_datasheet,YF-SV15 Datasheet,2,source-backed
prd_yf_bv25,valve,Valve,pressure_rating,Pressure rating,PN25,,,PN25,true,true,doc_yf_bv25_datasheet,YF-BV25 Datasheet,2,source-backed
prd_yf_bv25,valve,Valve,size,Size,DN25,,,DN25,true,true,doc_yf_bv25_datasheet,YF-BV25 Datasheet,2,source-backed
prd_yf_bv25,valve,Valve,connection,Connection,DN25 flange,,,DN25 flange,true,true,doc_yf_bv25_datasheet,YF-BV25 Datasheet,2,source-backed
prd_yf_bv25,valve,Valve,material,Material,316L stainless steel,,,316L stainless steel,true,false,doc_yf_bv25_datasheet,YF-BV25 Datasheet,2,source-backed
prd_yf_bv25,valve,Valve,mode,Mode,manual,,,manual,true,false,doc_yf_bv25_datasheet,YF-BV25 Datasheet,2,source-backed
prd_yf_bv25,valve,Valve,compatible_media,Compatible media,Water;Oil;Compressed air,,,Water;Oil;Compressed air,true,false,doc_yf_bv25_datasheet,YF-BV25 Datasheet,2,source-backed
prd_yf_bfv80,valve,Valve,pressure_rating,Pressure rating,PN16,,,PN16,true,true,doc_yf_bfv80_datasheet,YF-BFV80 Datasheet,2,source-backed
prd_yf_bfv80,valve,Valve,size,Size,DN80,,,DN80,true,true,doc_yf_bfv80_datasheet,YF-BFV80 Datasheet,2,source-backed
prd_yf_bfv80,valve,Valve,connection,Connection,DN80 wafer,,,DN80 wafer,true,true,doc_yf_bfv80_datasheet,YF-BFV80 Datasheet,2,source-backed
prd_yf_bfv80,valve,Valve,material,Material,Ductile iron;EPDM,,,Ductile iron;EPDM,true,false,doc_yf_bfv80_datasheet,YF-BFV80 Datasheet,2,source-backed
prd_yf_bfv80,valve,Valve,mode,Mode,modulating,,,modulating,true,false,doc_yf_bfv80_datasheet,YF-BFV80 Datasheet,2,source-backed
prd_yf_bfv80,valve,Valve,compatible_media,Compatible media,Water;Neutral liquids,,,Water;Neutral liquids,true,false,doc_yf_bfv80_datasheet,YF-BFV80 Datasheet,2,source-backed
